Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456286Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95130 for workflow primary in 111.709µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456286Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456288Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: indexed checkpoint 95138 with time now 1726138825456 and checkpoint time 1681502938538
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456289Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95142 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456291Z  INFO sui_data_ingestion_core::worker_pool: received checkpoint for processing 95151 for workflow primary
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456292Z  INFO sui_data_ingestion_core::worker_pool: received checkpoint for processing 95144 for workflow primary
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456290Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95130 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456293Z  INFO sui_indexer::handlers::checkpoint_handler: Indexing checkpoint data blob checkpoint_seq=95149
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456294Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456294Z  INFO sui_indexer::handlers::checkpoint_handler: checkpoint download lag for cp 95151: 44635873831 ms
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456294Z  INFO sui_indexer::handlers::checkpoint_handler: Indexing checkpoint data blob checkpoint_seq=95148
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456295Z  INFO sui_indexer::handlers::checkpoint_handler: Indexing checkpoint data blob checkpoint_seq=95143
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456296Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: downloaded checkpoint 95151 with time now 1726138825456 and checkpoint time 1681502951625
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456296Z  INFO sui_data_ingestion_core::worker_pool: received checkpoint for processing 95150 for workflow primary
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456298Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95142 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456299Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456299Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456299Z  INFO sui_indexer::handlers::checkpoint_handler: checkpoint download lag for cp 95144: 44635880909 ms
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456300Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95137 for workflow primary in 109.645µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456300Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95138 for workflow primary in 72.185µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456300Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: downloaded checkpoint 95144 with time now 1726138825456 and checkpoint time 1681502944547
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456301Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456301Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95130 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456303Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95137 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456304Z  INFO sui_indexer::handlers::checkpoint_handler: Indexing checkpoint data blob checkpoint_seq=95151
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456304Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95138 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456302Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95141 for workflow primary in 105.066µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456304Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456304Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95138 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456303Z  INFO sui_indexer::handlers::checkpoint_handler: checkpoint download lag for cp 95150: 44635874847 ms
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456305Z  INFO sui_indexer::handlers::checkpoint_handler: Indexing checkpoint data blob checkpoint_seq=95144
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456306Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95141 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456306Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456306Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: downloaded checkpoint 95150 with time now 1726138825456 and checkpoint time 1681502950609
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456307Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95137 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456309Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456309Z  INFO sui_types::nats_queue: Received checkpoint with seq number 95141 but expected 85168
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456310Z  INFO sui_data_ingestion_core::worker_pool: received checkpoint for processing 95152 for workflow primary
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456312Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456312Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456313Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: indexed checkpoint 95145 with time now 1726138825456 and checkpoint time 1681502945578
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456313Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456314Z  INFO sui_indexer::handlers::checkpoint_handler: Indexing checkpoint data blob checkpoint_seq=95150
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456315Z  INFO sui_indexer::handlers::checkpoint_handler: checkpoint download lag for cp 95152: 44635872905 ms
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456317Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: indexed checkpoint 95140 with time now 1726138825456 and checkpoint time 1681502940481
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456317Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: downloaded checkpoint 95152 with time now 1726138825456 and checkpoint time 1681502952551
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456319Z  INFO sui_data_ingestion_core::worker_pool: finished checkpoint processing 95145 for workflow primary in 54.682µs
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456323Z  INFO sui_data_ingestion_core::worker_pool: received checkpoint for processing 95155 for workflow primary
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456325Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456326Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: indexed checkpoint 95147 with time now 1726138825456 and checkpoint time 1681502947554
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456326Z  INFO sui_indexer::handlers::checkpoint_handler: checkpoint download lag for cp 95155: 44635869912 ms
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456327Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456328Z  INFO sui_indexer::handlers::checkpoint_handler: Indexer lag: downloaded checkpoint 95155 with time now 1726138825456 and checkpoint time 1681502955544
Sep 12 13:00:25 sui-mainnet-node cargo[3499927]: 2024-09-12T11:00:25.456327Z  INFO sui_indexer::handlers::checkpoint_handler: Resolving Move struct layouts for struct tags of size 1.
